name,types,height,weight,stats,devis
Tygnon,Combat,"1,4 m, soit 4 pieds 7 pouces","50,2 kg, soit 110,7 livres","{'PV': 50, 'Attaque': 105, 'Défense': 79, 'Attaque Spéciale': 35, 'Défense Spéciale': 110, 'Vitesse': 76, 'Spécial': 35}",Superball
Excelangue,Normal,"1,2 m, soit 3 pieds 11 pouces","65,5 kg, soit 144,4 livres","{'PV': 90, 'Attaque': 55, 'Défense': 75, 'Attaque Spéciale': 60, 'Défense Spéciale': 75, 'Vitesse': 30, 'Spécial': 60}",Superball
Smogo,Poison,"0,6 m, soit 2 pieds 0 pouce","1,0 kg, soit 2,2 livres","{'PV': 40, 'Attaque': 65, 'Défense': 95, 'Attaque Spéciale': 60, 'Défense Spéciale': 45, 'Vitesse': 35, 'Spécial': 60}",Superball
Smogogo,Poison,"1,2 m, soit 3 pieds 11 pouces","9,5 kg, soit 20,9 livres","{'PV': 65, 'Attaque': 90, 'Défense': 120, 'Attaque Spéciale': 85, 'Défense Spéciale': 70, 'Vitesse': 60, 'Spécial': 85}",Superball
Rhinocorne,Sol-Roche,"1,0 m, soit 3 pieds 3 pouces","115,0 kg, soit 253,5 livres","{'PV': 80, 'Attaque': 85, 'Défense': 95, 'Attaque Spéciale': 30, 'Défense Spéciale': 30, 'Vitesse': 25, 'Spécial': 30}",Superball
Rhinoféros,Sol-Roche,"1,9 m, soit 6 pieds 3 pouces","120,0 kg, soit 264,6 livres","{'PV': 105, 'Attaque': 130, 'Défense': 120, 'Attaque Spéciale': 45, 'Défense Spéciale': 45, 'Vitesse': 40, 'Spécial': 45}",Superball
Leveinard,Normal,"1,1 m, soit 3 pieds 7 pouces","34,6 kg, soit 76,3 livres","{'PV': 250, 'Attaque': 5, 'Défense': 5, 'Attaque Spéciale': 35, 'Défense Spéciale': 105, 'Vitesse': 50, 'Spécial': 105}",Superball
Saquedeneu,Plante,"1,0 m, soit 3 pieds 3 pouces","35,0 kg, soit 77,2 livres","{'PV': 65, 'Attaque': 55, 'Défense': 115, 'Attaque Spéciale': 100, 'Défense Spéciale': 40, 'Vitesse': 60, 'Spécial': 100}",Superball
Kangourex,Normal,"2,2 m, soit 7 pieds 3 pouces","80,0 kg, soit 176,4 livres","{'PV': 105, 'Attaque': 95, 'Défense': 80, 'Attaque Spéciale': 40, 'Défense Spéciale': 80, 'Vitesse': 90, 'Spécial': 40}",Superball
Hypotrempe,Eau,"0,4 m, soit 1 pied 4 pouces","8,0 kg, soit 17,6 livres","{'PV': 30, 'Attaque': 40, 'Défense': 70, 'Attaque Spéciale': 70, 'Défense Spéciale': 25, 'Vitesse': 60, 'Spécial': 70}",Superball
Hypocéan,Eau,"1,2 m, soit 3 pieds 11 pouces","25,0 kg, soit 55,1 livres","{'PV': 55, 'Attaque': 65, 'Défense': 95, 'Attaque Spéciale': 95, 'Défense Spéciale': 45, 'Vitesse': 85, 'Spécial': 95}",Superball
Poissirène,Eau,"0,6 m, soit 2 pieds 0 pouce","15,0 kg, soit 33,1 livres","{'PV': 45, 'Attaque': 67, 'Défense': 60, 'Attaque Spéciale': 35, 'Défense Spéciale': 50, 'Vitesse': 63, 'Spécial': 50}",Superball
Poissoroy,Eau,"1,3 m, soit 4 pieds 3 pouces","39,0 kg, soit 86,0 livres","{'PV': 80, 'Attaque': 92, 'Défense': 65, 'Attaque Spéciale': 65, 'Défense Spéciale': 80, 'Vitesse': 68, 'Spécial': 80}",Superball
Stari,Eau,"0,8 m, soit 2 pieds 7 pouces","34,5 kg, soit 76,1 livres","{'PV': 30, 'Attaque': 45, 'Défense': 55, 'Attaque Spéciale': 70, 'Défense Spéciale': 55, 'Vitesse': 85, 'Spécial': 70}",Superball
Staross,Eau-Psy,"1,1 m, soit 3 pieds 7 pouces","80,0 kg, soit 176,4 livres","{'PV': 60, 'Attaque': 75, 'Défense': 85, 'Attaque Spéciale': 100, 'Défense Spéciale': 85, 'Vitesse': 115, 'Spécial': 100}",Superball
Insécateur,Insecte-Vol,"1,5 m, soit 4 pieds 11 pouces","56,0 kg, soit 123,5 livres","{'PV': 70, 'Attaque': 110, 'Défense': 80, 'Attaque Spéciale': 55, 'Défense Spéciale': 80, 'Vitesse': 105, 'Spécial': 55}",Superball
Lippoutou,Glace-Psy,"1,4 m, soit 4 pieds 7 pouces","40,6 kg, soit 89,5 livres","{'PV': 65, 'Attaque': 50, 'Défense': 35, 'Attaque Spéciale': 115, 'Défense Spéciale': 95, 'Vitesse': 95, 'Spécial': 95}",Superball
Élektek,Électrik,"1,1 m, soit 3 pieds 7 pouces","30,0 kg, soit 66,1 livres","{'PV': 65, 'Attaque': 83, 'Défense': 57, 'Attaque Spéciale': 95, 'Défense Spéciale': 85, 'Vitesse': 105, 'Spécial': 85}",Superball
Magmar,Feu,"1,3 m, soit 4 pieds 3 pouces","44,5 kg, soit 98,1 livres","{'PV': 65, 'Attaque': 95, 'Défense': 57, 'Attaque Spéciale': 100, 'Défense Spéciale': 85, 'Vitesse': 93, 'Spécial': 85}",Superball
Scarabrute,Insecte,"1,5 m, soit 4 pieds 11 pouces","55,0 kg, soit 121,3 livres","{'PV': 65, 'Attaque': 125, 'Défense': 100, 'Attaque Spéciale': 55, 'Défense Spéciale': 70, 'Vitesse': 85, 'Spécial': 55}",Superball
Tauros,Normal,"1,4 m, soit 4 pieds 7 pouces","88,4 kg, soit 194,9 livres","{'PV': 75, 'Attaque': 100, 'Défense': 95, 'Attaque Spéciale': 40, 'Défense Spéciale': 70, 'Vitesse': 110, 'Spécial': 70}",Superball
Magicarpe,Eau,"0,9 m, soit 2 pieds 11 pouces","10,0 kg, soit 22,0 livres","{'PV': 20, 'Attaque': 10, 'Défense': 55, 'Attaque Spéciale': 15, 'Défense Spéciale': 20, 'Vitesse': 80, 'Spécial': 20}",Pokéball
Léviator,Eau-Vol,"6,5 m, soit 21 pieds 4 pouces","235,0 kg, soit 518,1 livres","{'PV': 95, 'Attaque': 125, 'Défense': 79, 'Attaque Spéciale': 60, 'Défense Spéciale': 100, 'Vitesse': 81, 'Spécial': 100}",Superball
Lokhlass,Eau-Glace,"2,5 m, soit 8 pieds 2 pouces","220,0 kg, soit 485,0 livres","{'PV': 130, 'Attaque': 85, 'Défense': 80, 'Attaque Spéciale': 85, 'Défense Spéciale': 95, 'Vitesse': 60, 'Spécial': 95}",Superball
Métamorph,Normal,"0,3 m, soit 1 pied 0 pouce","4,0 kg, soit 8,8 livres","{'PV': 48, 'Attaque': 48, 'Défense': 48, 'Attaque Spéciale': 48, 'Défense Spéciale': 48, 'Vitesse': 48, 'Spécial': 48}",Pokéball
Évoli,Normal,"0,3 m, soit 1 pied 0 pouce","6,5 kg, soit 14,3 livres","{'PV': 55, 'Attaque': 55, 'Défense': 50, 'Attaque Spéciale': 45, 'Défense Spéciale': 65, 'Vitesse': 55, 'Spécial': 65}",Superball
Aquali,Eau,"1,0 m, soit 3 pieds 3 pouces","29,0 kg, soit 63,9 livres","{'PV': 130, 'Attaque': 65, 'Défense': 60, 'Attaque Spéciale': 110, 'Défense Spéciale': 95, 'Vitesse': 65, 'Spécial': 110}",Superball
Voltali,Électrik,"0,8 m, soit 2 pieds 7 pouces","24,5 kg, soit 54,0 livres","{'PV': 65, 'Attaque': 65, 'Défense': 60, 'Attaque Spéciale': 110, 'Défense Spéciale': 95, 'Vitesse': 130, 'Spécial': 110}",Superball
Pyroli,Feu,"0,9 m, soit 2 pieds 11 pouces","25,0 kg, soit 55,1 livres","{'PV': 65, 'Attaque': 130, 'Défense': 60, 'Attaque Spéciale': 95, 'Défense Spéciale': 110, 'Vitesse': 65, 'Spécial': 110}",Superball
Porygon,Normal,"0,8 m, soit 2 pieds 7 pouces","36,5 kg, soit 80,5 livres","{'PV': 65, 'Attaque': 60, 'Défense': 70, 'Attaque Spéciale': 85, 'Défense Spéciale': 75, 'Vitesse': 40, 'Spécial': 75}",Superball
Amonita,Roche-Eau,"0,4 m, soit 1 pied 4 pouces","7,5 kg, soit 16,5 livres","{'PV': 35, 'Attaque': 40, 'Défense': 100, 'Attaque Spéciale': 90, 'Défense Spéciale': 55, 'Vitesse': 35, 'Spécial': 90}",Superball
Amonistar,Roche-Eau,"1,0 m, soit 3 pieds 3 pouces","35,0 kg, soit 77,2 livres","{'PV': 70, 'Attaque': 60, 'Défense': 125, 'Attaque Spéciale': 115, 'Défense Spéciale': 70, 'Vitesse': 55, 'Spécial': 115}",Superball
Kabuto,Roche-Eau,"0,5 m, soit 1 pied 8 pouces","11,5 kg, soit 25,4 livres","{'PV': 30, 'Attaque': 80, 'Défense': 90, 'Attaque Spéciale': 55, 'Défense Spéciale': 45, 'Vitesse': 55, 'Spécial': 45}",Superball
Kabutops,Roche-Eau,"1,3 m, soit 4 pieds 3 pouces","40,5 kg, soit 89,3 livres","{'PV': 60, 'Attaque': 115, 'Défense': 105, 'Attaque Spéciale': 65, 'Défense Spéciale': 70, 'Vitesse': 80, 'Spécial': 70}",Superball
Ptéra,Roche-Vol,"1,8 m, soit 5 pieds 11 pouces","59,0 kg, soit 130,1 livres","{'PV': 80, 'Attaque': 105, 'Défense': 65, 'Attaque Spéciale': 60, 'Défense Spéciale': 75, 'Vitesse': 130, 'Spécial': 60}",Superball
Ronflex,Normal,"2,1 m, soit 6 pieds 11 pouces","460,0 kg, soit 1014,1 livres","{'PV': 160, 'Attaque': 110, 'Défense': 65, 'Attaque Spéciale': 65, 'Défense Spéciale': 110, 'Vitesse': 30, 'Spécial': 65}",Superball
Artikodin,Glace-Vol,"1,7 m, soit 5 pieds 7 pouces","55,4 kg, soit 122,1 livres","{'PV': 90, 'Attaque': 85, 'Défense': 100, 'Attaque Spéciale': 95, 'Défense Spéciale': 125, 'Vitesse': 85, 'Spécial': 125}",Hyperball
Électhor,Électrik-Vol,"1,6 m, soit 5 pieds 3 pouces","52,6 kg, soit 116,0 livres","{'PV': 90, 'Attaque': 90, 'Défense': 85, 'Attaque Spéciale': 125, 'Défense Spéciale': 90, 'Vitesse': 100, 'Spécial': 125}",Hyperball
Sulfura,Feu-Vol,"2,0 m, soit 6 pieds 7 pouces","60,0 kg, soit 132,3 livres","{'PV': 90, 'Attaque': 100, 'Défense': 90, 'Attaque Spéciale': 125, 'Défense Spéciale': 85, 'Vitesse': 90, 'Spécial': 125}",Hyperball
Minidraco,Dragon,"1,8 m, soit 5 pieds 11 pouces","3,3 kg, soit 7,3 livres","{'PV': 41, 'Attaque': 64, 'Défense': 45, 'Attaque Spéciale': 50, 'Défense Spéciale': 50, 'Vitesse': 50, 'Spécial': 50}",Pokéball
Draco,Dragon,"4,0 m, soit 13 pieds 1 pouce","16,5 kg, soit 36,4 livres","{'PV': 61, 'Attaque': 84, 'Défense': 65, 'Attaque Spéciale': 70, 'Défense Spéciale': 70, 'Vitesse': 70, 'Spécial': 70}",Superball
Dracolosse,Dragon-Vol,"2,2 m, soit 7 pieds 3 pouces","210,0 kg, soit 463,0 livres","{'PV': 91, 'Attaque': 134, 'Défense': 95, 'Attaque Spéciale': 100, 'Défense Spéciale': 100, 'Vitesse': 80, 'Spécial': 100}",Superball
Mewtwo,Psy,"2,0 m, soit 6 pieds 7 pouces","122,0 kg, soit 269,0 livres","{'PV': 106, 'Attaque': 110, 'Défense': 90, 'Attaque Spéciale': 154, 'Défense Spéciale': 90, 'Vitesse': 130, 'Spécial': 154}",Hyperball
Mew,Psy,"0,4 m, soit 1 pied 4 pouces","4,0 kg, soit 8,8 livres","{'PV': 100, 'Attaque': 100, 'Défense': 100, 'Attaque Spéciale': 100, 'Défense Spéciale': 100, 'Vitesse': 100, 'Spécial': 100}",Superball
